FileTools-AppendLogToFile-error:读取文件内容发生错误！文件“E:\MyCoding\c#\2015\SWebVulnsScan\SWebVulnsScan\bin\Debug\logs\2016年5月4日.log.txt”正由另一进程使用，因此该进程无法访问此文件。----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64314----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64318----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64316----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64312----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64311----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64320----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64316----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64314----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64320----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64319----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64324----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64325----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64323----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64324----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64325----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64323----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64327----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64327----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64328----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64329----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64329----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64328----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64326----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64326----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64330----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64330----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64331----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64331----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64332----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64332----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64334----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64334----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64335----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64335----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64333----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64333----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64338----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64362----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64362----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64338----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64354----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64351----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64351----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64349----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64360----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64337----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64349----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64359----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64358----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64363----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64363----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64358----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64354----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64341----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64336----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64357----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64357----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64341----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64353----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64337----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64361----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64353----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64344----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64343----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64336----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64342----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64345----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64345----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64350----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64342----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64339----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64365----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64361----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64350----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64365----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64360----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64364----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64355----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64355----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64343----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64346----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64347----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64340----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64340----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64347----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64348----2016/5/4 17:32:57
